	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_1.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_2.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_3.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d	F07WBS_4.c3d
	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity	Right_Hip_Angle	Right_Hip_Velocity	Right_Knee_Angle	Right_Knee_Velocity	Right_Ankle_Angle	Right_Ankle_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y	Y
51	19.46640	4.46791	15.76504	164.33008	-12.95148	77.27530	19.36930	12.01651	13.81129	133.24687	-14.76660	51.19682	19.95075	25.05569	13.57962	132.13602	-15.65713	31.94974	22.17422	10.46187	16.19777	142.05269	-10.87820	132.98929
52	19.47324	-2.46147	17.44995	183.40509	-11.98899	111.53587	19.46628	6.12831	15.22344	151.77025	-14.10174	79.86037	20.16415	16.35174	14.96976	146.25545	-15.17737	60.51904	22.24276	-2.95844	17.81291	163.98940	-9.18253	173.46931
53	19.40964	-10.14019	19.31403	202.95074	-10.63691	153.04149	19.49714	-1.28272	16.83225	172.69121	-13.10164	114.84242	20.28809	6.09962	16.51454	163.19604	-14.36549	94.57531	22.15392	-17.31821	19.67894	188.71568	-6.97092	220.23857
54	19.26659	-18.51903	21.35163	222.35565	-8.81769	201.14247	19.44557	-9.95471	18.65265	195.08505	-11.68814	156.62267	20.30517	-5.55399	18.24136	182.94264	-13.15188	135.01399	21.89291	-31.80250	21.80437	214.64203	-4.17872	269.43558
55	19.03503	-27.66182	23.54802	240.89841	-6.46928	253.24484	19.29668	-19.87510	20.68151	217.51845	-9.78336	204.06067	20.19931	-18.06556	20.17036	204.76218	-11.46087	181.74736	21.45209	-46.29687	24.17318	240.19551	-0.80826	314.04840
56	18.70389	-37.98788	25.88078	257.83310	-3.56905	304.57391	19.03316	-31.57805	22.89575	238.59923	-7.33334	253.54498	19.96037	-30.76464	22.30635	227.33601	-9.22490	233.04994	20.82468	-61.48432	26.75260	264.06070	3.02691	344.63916
57	18.25636	-50.33427	28.32444	272.45438	-0.15831	348.31708	18.63049	-45.93122	25.26011	257.35910	-4.34039	298.68390	19.58457	-43.39313	24.63460	249.16333	-6.40501	285.10889	19.99997	-78.41390	29.50765	284.87485	7.07590	352.19885
58	17.66758	-65.67492	30.85678	284.10263	3.63563	376.41476	18.05797	-63.49372	27.73912	273.00928	-0.89687	330.96069	19.06871	-56.49093	27.12504	268.90417	-3.01868	331.74933	18.96448	-97.63113	32.41091	300.72021	10.98161	332.15393
59	16.90647	-84.56773	33.46450	292.14627	7.59029	381.43335	17.28632	-84.06733	30.30478	284.52405	2.79230	341.55185	18.40290	-71.18575	29.74232	285.36612	0.82644	364.71408	17.70944	-118.53868	35.44099	309.31326	14.37105	286.09674
60	15.94246	-106.62817	36.14375	295.94437	11.40788	359.06970	16.29575	-106.68371	32.93850	290.72156	6.41800	324.20142	17.56812	-88.51318	32.45635	297.37347	4.90859	375.43585	16.24035	-139.35503	38.57248	308.93271	16.94933	219.93037
